Place,WeightClassKg,Division,Name,BirthYear,BodyweightKg,Country,BestBenchKg,Event,Equipment
1,40,,Chen-Yen Huang,1980,40,C.Taipei,60,B,Single-ply
1,40,,Elvira Kosareva,1940,40,Russia,32.5,B,Single-ply
1,44,,Li-Hua Lu,1970,43,C.Taipei,85,B,Single-ply
1,48,,Anna Orosova,1963,48,Slovakia,72.5,B,Single-ply
2,48,,Ying-Hui Chen,1980,44.2,C.Taipei,60,B,Single-ply
1,56,,Maria Bartosova,1961,55.5,Slovakia,72.5,B,Single-ply
2,56,,Ya-Hsuan Lin,1976,55.1,C.Taipei,67.5,B,Single-ply
1,82.5,,Tzu-Hui Lin,1981,79.8,C.Taipei,115,B,Single-ply
1,90,,Ludmil Yedukonene,1975,86.7,Belorussia,70,B,Single-ply
2,90,,Larissa Riadnova,1944,84.6,Russia,52.5,B,Single-ply
1,48,,Vitaliy Kursenov,1969,47.2,Russia,115,B,Single-ply
2,48,,Boman Hommes,1962,43.1,Netherlands,97.5,B,Single-ply
1,52,,Chia-Tung Chang,1980,51.6,C.Taipei,140,B,Single-ply
1,56,,Chi-Ching Chen,1967,55.2,C.Taipei,140,B,Single-ply
2,56,,Maxim Bogdanov,1957,54.7,Russia,117.5,B,Single-ply
3,56,,Gunar Huppke,1974,56,Germany,100,B,Single-ply
1,60,,Istvan Toth,1956,58.8,Hungary,135,B,Single-ply
2,60,,Erwin Ersek,1968,59.3,Hungary,92.5,B,Single-ply
1,67.5,,Philippe Herzog,1961,66.6,Switzerland,162.5,B,Single-ply
2,67.5,,Mikulas Lacek,1979,67.4,Slovakia,112.5,B,Single-ply
3,67.5,,Roman Navratil,1953,66.8,Czechia,110,B,Single-ply
4,67.5,,Martin Skupa,1980,66.2,Czechia,90,B,Single-ply
1,75,,Cheng-Lung Yang,1962,69.9,C.Taipei,152.5,B,Single-ply
2,75,,Gerhard Leierzopf,1961,72.6,Austria,140,B,Single-ply
3,75,,Yuriy Povetkin,1939,68.4,Russia,130,B,Single-ply
4,75,,Petr Szalacsi,1956,68.5,Czechia,100,B,Single-ply
5,75,,Jozef Johanes,1964,72.1,Slovakia,87.5,B,Single-ply
1,82.5,,Vladislav Vasek,1949,75.5,Czechia,122.5,B,Single-ply
2,82.5,,Jan Kubosi,1970,80.9,Slovakia,112.5,B,Single-ply
1,90,,John Ruitenbeck,1955,84.9,Netherlands,175,B,Single-ply
2,90,,Sergei Krivulets,1976,87.5,Belorussia,172.5,B,Single-ply
DQ,90,,Alexande Kapustin,1970,85.4,Russia,,B,Single-ply
1,100,,Tomas Mosnicka,1966,99.6,Czechia,187.5,B,Single-ply
2,100,,Loyd Sumter,1960,90.6,Netherlands,165,B,Single-ply
3,100,,Wolfgang Siewert,1945,99.6,Germany,160,B,Single-ply
4,100,,Lubos Jancek,1967,91.4,Slovakia,135,B,Single-ply
5,100,,Peter Stefanides,1971,95.9,Slovakia,132.5,B,Single-ply
DQ,100,,Milan Nemec,1968,96.5,Czechia,,B,Single-ply
1,100+,,Werner Friedl,1964,110.4,Austria,210,B,Single-ply
2,100+,,Alexeiy Golikov,1972,126.4,Russia,192.5,B,Single-ply
3,100+,,Janos Szabo,1972,170.4,Hungary,185,B,Single-ply
4,100+,,Klaus Homrich,1955,112.7,Germany,177.5,B,Single-ply
5,100+,,Cees Ootjers,1956,143.4,Netherlands,165,B,Single-ply
