-44,Kg,,,,,,,,
1,Koskinen,Raija,63,43.9,Finland,167.5,75,162.5,405
2,Chen,Wei-Ling,82,43.6,C.Taipei,152.5,65,165,382.5
3,Lepanse,Benedicte,78,43.6,France,120,67.5,130,317.5
4,Friedrich,Marion,65,43.6,Germany,115,77.5,117.5,310
5,Svjantekova,Eva,73,44,Slovakia,100,95.5,92.5,287.5
6,Dickey,Ernie,84,44,US.America,100,60,125,285
-48,Kg,,,,,,,,
1,Chen,Kuan-Ting,77,47.5,C.Taipei,172.5,87.5,160,420
2,Shapovalova,Natal,83,47.6,Russia,172.54,87.5,160,420
3,Maile,Jennifer,84,47.9,US.America,150,95,167.5,412.5
4,Guillaume,Sabine,63,47.1,France,130,67.5,155,352.5
5,Hampson,Heather,66,47.7,Great Britain,130,70,147.5,347.5
6,Kleszczynska,Mart,79,47.5,Poland,130,75,132.5,337.5
7,Serrano,Martin,76,47,France,132.5,70,130,332.5
8,Tronke,Ines,79,46.8,Germany,117.5,62.5,122.5,302.5
9,Macken,Mary,61,47.2,Australia,110,52.5,137.5,300
10.Rutka,Aneta,82,45.5,Poland,120,52.5,120,292.5,402.53
DQ,Chou,Yi-Ju,80,47.7,C.Taipei,135,,,
-52,Kg,,,,,,,,
1,Nikolaenko,Svetla,81,51.7,Russia,195,117.5,185,497.5
2,Eltsova,Natalia,78,51.8,Russia,180,97.5,162.5,440
3,Hartwig,Suzanne,68,51.3,US.America,162.5,97.5,167.5,427.5
4,Sirkiä,Mervi,72,52,Finland,152.5,90,172.5,415
5,Cornette,Stephani,75,51,France,165,90,150,405
6,Primenchuk,Tetyan,72,51.2,Ukraina,150,87.5,157.5,395
7,Sawyer,Teresa,63,51.4,Great Britain,130,82.5,152.5,365
8,Groves,Deborah,71,51.5,Australia,117.5,75,132.5,325
9,Mahanta,Mandakini,78,49.9,India,105,60,135,300
DQ,Rantamäki,Mervi,74,51.6,Finland,,,,
-56,Kg,,,,,,,,
1,Filimonova,Inna,76,55.8,Russia,213,105,182.5,500
2,Savola,Pirjo,68,55.7,Finland,187.5,87.5,200,475
3,Amsden,Michelle,79,55.5,US.America,165,100,180,445
4,Locatelli,Laura,57,55.7,Italy,162.5,82.5,190,435
5,Kehänen,Virpi,79,55.9,Finland,172.5,80,175,427.5
6,Kemper,Antoinette,65,55.7,Germany,152.5,80,160,392.5
7,Gevers,Jeanette,62,55.9,Australia,150,72.5,145,367.5
8,Moosova,Dana,83,55.4,Czechia,130,70,140,340
9,Green,Tanja,71,55.3,New Zealand,107.5,82.5,122.5,312.5
DQ,Petrocki,Magdolna,68,55.2,Hungary,,,,
-60,Kg,,,,,,,,
1,Nelubova,Valentin,66,58.9,Russia,197.5,142.5,185,525
2,Guminska,Lesya,80,59.7,Ukraina,207.5,110,195,512.5
3,Poplavska,Svitlan,66,59.8,Ukraina,192.5,110,190,492.5
4,Nikander,Eeva,67,59.7,Finland,170,125,187.5,482.5
5,Matejova,Dana,75,59.9,Slovakia,200,110,172.5,482.5
6,Fischer,Birgit,63,58.4,Germany,175,90,202.5,467.5
7,Gaifulina,Aigul,79,59.4,Kazahkstan,175,97.5,195,467.5
8,Keizer,Aly,51,60,Netherlands,147.5,82.5,167.5,397.5
9,Szekelyne,Nagarit,74,57.7,Hungary,140,92.5,160,392.5
10,Schreiber,Romy,79,59.7,Germany,140,62.5,150,352.5
DQ,Kaur,Mandeep,,59.9,India,,,,
-67.5,Kg,,,,,,,,
1,Kudinova,Marina,77,63.4,Russia,240,137.5,217.5,595
2,Iskandarova,Valid,74,63.7,Kazahkstan,200,117.5,207.5,525
3,Blikra,Inger,61,67.1,Norwegen,200,110,212.5,522.5
4,Haapoja,Päivi,65,66.9,Finland,200,92.5,202.5,495
5,Rajrajeshwari,G.,75,65.3,India,182.5,120,185,487.5
6,Bohigian,Kara,75,67.3,US.America,167.5,107.5,195,470
7,Gibson,Marian,64,65.1,Great Britain,160,110,185,455
8,Näfe,Michaela,74,63.9,Germany,142.5,92.5,195,430
9,Wendt,Anke,78,63.9,Germany,167.5,80,175,422.5
10,Moscianese,Maria-,63,66.7,Italy,150,80,185,415
11,Dittler,Anna,46,64.9,Hungary,170,82.5,160,412.5
12,Giffin,Mary,72,66.9,Australia,150,85,170,405
13,Borgaard,Kirsten,60,65.5,Denmark,140,82.5,172.5,395
14,Shukla,Manisha,78,64,India,105,35,110,250
-75,Kg,,,,,,,,
1,Dedulia,Svetlana,75,74.5,Russia,242.5,165,210,617.5
2,Ivanova,Larysa,75,74.7,Ukraina,235,125,215,575
3,Bahry,Tamara,74,74,Ukraina,212.5,137.5,215,565
4,Stiklestadt,Anne,75,74.8,Norwegen,230,110,200,540
5,Ribic,Priscilla,72,72.3,US.America,195,117.5,217.5,530
6,Kudryavtseva,Tati,82,72.8,Kazahkstan,195,140,195,530
7,Jamin,Cecile,66,68.8,France,195,100,205,500
8,Parra,Monika,70,70.7,Spain,182.5,105,190,477.5
9,Gall,Eva-Maria,70,71.7,Germany,160,112.5,197.5,470
10,vanderMeulen,Joke,51,68.8,Netherlands,162.5,85,170,417.5
11,Cleve,Susanne,64,71.3,Germany,145,90,180,415
-82.5,Kg,,,,,,,,
1,Puzanova,Tatyana,74,81.9,Russia,240,150,235,625
2,Posmitna,Viktoria,66,81.8,Ukraina,245,135,222.5,602.5
3,Yavorska,Iryna,81,81.3,Ukraina,220,135,222.5,577.5
4,Hsieh,Chia-Hua,80,79.7,C.Taipei,215,135,200,550
5,Porter,Monika,67,79.5,Great Britain,200,105,220,525
6,Mogensen,Sannah,68,82.3,Denmark,170,100,195,465
-90,Kg,,,,,,,,
1,Lugovaya,Irina,74,89,Russia,245,165,225,635
2,Orobets,Inna,71,89.1,Ukraina,227.5,132.5,210,570
3,Look,Leslie,70,85.9,US.America,230,110,222.5,562.5
4,Polichuk,Natalia,78,85.7,Ukraina,225,135,200,560
5,Strik,Ilja,73,83.3,Netherlands,210,130,195,535
6,Wattkins,Jessica,80,88.1,US.America,215,115,205,535
7,Buckley-Gray,Jack,67,88.6,New Zealand,190,110,210,510
8,Sliwinska,Anna,82,82.6,Poland,200,120,187.5,507.5
9,Tsai,Chia-Hui,81,83.5,C.Taipei,205,117.5,185,507.5
10,Nokua,Katariina,73,89.5,Finland,190,100,187.5,477.5
11,vanderMeulen,Bren,78,89.7,Netherlands,182.5,117.5,175,475
12,Busby,Jennifer,77,84.5,Great Britain,185,95,185,465
13,Trum,Monika,75,83.4,Germany,170,105,160,435
14,Kardosova,Katarin,76,87.4,Slovakia,150,100,160,410
15,Mendon,Bhanumati,57,89.1,India,130,52.5,140,322.5
90,Kg,,,,,,,,
1,Karpova,Galina,68,113,Russia,285,160,225,670
2,Chao,Chen-Yeh,71,113.3,C.Taipei,265,170,220,655
3,Willet,Liz,72,144.5,US.America,267.5,165,195,627.5
4,Hembree,Vicki,61,97.4,US.America,227.5,150,215,592.5
5,Ganenko,Ganna,75,104.5,Ukraina,235,160,190,585
6,Schaefer,Joanne,67,99.9,Netherlands,220,135,202.5,557.5
7,Last,Suzanne,70,118.5,Great Britain,200,112.5,202.5,515
8,Monte,Wilna,68,92.3,Netherlands,165,105,190,460
9,Guha,Sampa,67,91.2,India,180,100,160,440
Fourth,lift:,Puzanova,Tatyana,74,81.9,Russia,Bench,Press,155.5
