Place,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Raija Koskinen,1963,FIN,43.95,155,165,-172.5,165.0,75,80,85,85.0,155,162.5,-167.5,162.5,412.5,44,Open,SBD,F,Single-ply
2,Azusa Hara,1967,JPN,43.5,-142.5,142.5,145,145.0,75,-80,80,80.0,120,127.5,130,130.0,355,44,Open,SBD,F,Single-ply
3,Sylviane Bechar,1959,FRA,44,117.5,125,127.5,127.5,72.5,77.5,-80,77.5,127.5,137.5,-142.5,137.5,342.5,44,Open,SBD,F,Single-ply
4,Erin Dickey,1984,USA,43.55,105,115,125,125.0,60,65,-70,65.0,110,127.5,-135,127.5,317.5,44,Open,SBD,F,Single-ply
5,Barbara Sieps,1966,USA,43.55,115,122.5,130,130.0,50,55,-60,55.0,130,-137.5,-137.5,130.0,315,44,Open,SBD,F,Single-ply
1,Yukako Fukushima,1970,JPN,47.45,150,157.5,162.5,162.5,120,125,-130.5,125.0,145,155,-162.5,155.0,442.5,48,Open,SBD,F,Single-ply
2,Wei-Ling Chen,1982,TPE,46.35,165,170,175,175.0,65,70,-72.5,70.0,160,170,177.5,177.5,422.5,48,Open,SBD,F,Single-ply
3,Vilma Ochoa,1980,ECU,48,152.5,160,165,165.0,-77.5,77.5,-82.5,77.5,162.5,170,177.5,177.5,420,48,Open,SBD,F,Single-ply
4,Benedicte Le Panse,1978,FRA,47.65,140,150,160,160.0,90,95,97.5,97.5,140,150,-157.5,150.0,407.5,48,Open,SBD,F,Single-ply
5,Sabine Guillaume,1963,FRA,47.3,125,130,-135,130.0,65,67.5,-70,67.5,145,155,-157.5,155.0,352.5,48,Open,SBD,F,Single-ply
6,Chia-Yu Lee,1987,TPE,45.55,105,115,,115.0,,8,70,70.0,-75,5,155,155.0,,48,Open,SBD,F,Single-ply,,
7,Carola Lindstrom,1982,SWE,47.7,120,130,-140,130.0,65,-70,-70,65.0,130,140,145,145.0,340,48,Open,SBD,F,Single-ply
8,Junko Kitamura,1963,RSA,47.7,115,125,-130,125.0,75,80,-82.5,80.0,115,120,125,125.0,330,48,Open,SBD,F,Single-ply
9,Jonna Ocampo,1969,USA,46.7,107.5,115,-120,115.0,55,-62.5,-62.5,55.0,115,125,-132.5,125.0,295,48,Open,SBD,F,Single-ply
10,Shoko Tanaka,1964,JPN,47.75,90,-95,-95,90.0,50,55,-57.5,55.0,-95,95,-102.5,95.0,240,48,Open,SBD,F,Single-ply
1,Ju Chou Yi,1980,TPE,49.75,150,-160,165,165.0,75,80,85,85.0,170,180,185,185.0,435,52,Open,SBD,F,Single-ply
2,Mervi Sirkia,1972,FIN,51.75,160,-165,-165,160.0,90,92.5,-95,92.5,155,-167.5,-167.5,155.0,407.5,52,Open,SBD,F,Single-ply
3,Suzanne Hartwig-Gary,1968,USA,51.3,-152.5,152.5,-165,152.5,92.5,100,102.5,102.5,150,-162.5,-165,150.0,405,52,Open,SBD,F,Single-ply
4,Marie Eriksson,1978,SWE,51.55,125,135,142.5,142.5,65,70,-75,70.0,150,165,175,175.0,387.5,52,Open,SBD,F,Single-ply
5,Teresa Sawyer,1963,GBR,51.65,135,142.5,147.5,147.5,80,87.5,92.5,92.5,135,142.5,147.5,147.5,387.5,52,Open,SBD,F,Single-ply
6,Marcela Balogova,1974,CZE,51.15,125,132.5,-137.5,132.5,90,-95,95,95.0,130,137.5,140,140.0,367.5,52,Open,SBD,F,Single-ply
7,Keiko Nakai,1976,JPN,51.8,132.5,-145,-145,132.5,-85,-85,85,85.0,142.5,147.5,-150,147.5,365,52,Open,SBD,F,Single-ply
8,Karin Hollaus,1971,AUT,51.7,135,-142.5,142.5,142.5,-75,75,-77.5,75.0,-135,135,142.5,142.5,360,52,Open,SBD,F,Single-ply
9,Monika Korpak,1977,POL,51.4,130,140,-145,140.0,70,75,-80,75.0,125,132.5,-135,132.5,347.5,52,Open,SBD,F,Single-ply
10,Hiroko Kikuiri,1976,JPN,51.2,120,130,-135,130.0,60,-65,-65,60.0,150,-160,-160,150.0,340,52,Open,SBD,F,Single-ply
11,Pia Salemme Maria,1975,ITA,50.8,120,125,-130,125.0,60,65,-67.5,65.0,140,145,-150,145.0,335,52,Open,SBD,F,Single-ply
DQ,Hanna Rantala,1982,FIN,51.75,-155,-155,-155,,107.5,115,-120,115.0,152.5,157.5,-167.5,157.5,,52,Open,SBD,F,Single-ply
1,Anna Olsson,1974,SWE,55.05,170,-180,180,180.0,130,-135,135,135.0,160,167.5,177.5,177.5,492.5,56,Open,SBD,F,Single-ply
2,Eleonora Makhpirova,1986,KAZ,55.9,175,187.5,195,195.0,90,-95,100,100.0,155,167.5,177.5,177.5,472.5,56,Open,SBD,F,Single-ply
3,Lisett Buriel,1971,VEN,55.2,-170,170,175,175.0,80,-87.5,-90,80.0,170,180,182.5,182.5,437.5,56,Open,SBD,F,Single-ply
4,Hisako Yoshida,1951,JPN,53.85,115,-125,-125,115.0,85,-92.5,-97.5,85.0,110,120,130,130.0,330,56,Open,SBD,F,Single-ply
5,Diane Richard,1971,CAN,54.6,105,112.5,-117.5,112.5,65,-70,-70,65.0,112.5,122.5,-125,122.5,300,56,Open,SBD,F,Single-ply
6,Wing-Yuk Ip,1961,HKG,55.8,95,105,-117.5,105.0,-62.5,62.5,-67.5,62.5,115,125,-132.5,125.0,292.5,56,Open,SBD,F,Single-ply
DQ,Virpi Kehanen,1979,FIN,55.65,180,187.5,-192.5,187.5,-80,-80,-80,,180,-182.5,-182.5,180.0,,56,Open,SBD,F,Single-ply
1,Fiona V.Bachhaus Gundula,1981,GER,58.6,170,177.5,-180,177.5,120,-130,-130,120.0,170,177.5,182.5,182.5,480,60,Open,SBD,F,Single-ply
