Place,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Dariusz Wszola,1978,POL,55.6,235,245,-250,245.0,-155,155,165,165.0,195,205,-207.5,205.0,615,56,Open,SBD,M,Single-ply
2,Hiroyuki Isagawa,1953,JPN,55.82,207.5,-215,215,215.0,172.5,-177.5,-177.5,172.5,-215,225,-230,225.0,612.5,56,Open,SBD,M,Single-ply
3,Pawel Osmialowski,1977,POL,55.86,225,235,-242.5,235.0,115,-125,125,125.0,202.5,212.5,215,215.0,575,56,Open,SBD,M,Single-ply
4,Frederic Tinebra,1978,FRA,55.44,210,220,-227.5,220.0,140,145,147.5,147.5,190,205,-212.5,205.0,572.5,56,Open,SBD,M,Single-ply
5,Iván Cancel,1982,PUR,54.9,-202.5,-202.5,202.5,202.5,127.5,-135,135,135.0,185,-192.5,-205,185.0,522.5,56,Open,SBD,M,Single-ply
1,Ting Hsieh Tsung,1982,TPE,59.7,255,262.5,270,270.0,180,185,192.5,192.5,265,-270,-282.5,265.0,727.5,60,Open,SBD,M,Single-ply
2,Darimin Sutrisno Bin,1975,INA,59.04,260,-275,-275,260.0,170,182.5,-190,182.5,250,-265,-265,250.0,692.5,60,Open,SBD,M,Single-ply
3,Etienne Lited,1979,FRA,59.64,240,-250,250,250.0,140,145,-150,145.0,220,230,242.5,242.5,637.5,60,Open,SBD,M,Single-ply
4,Carlos Garsia,1980,VEN,58.86,220,232.5,240,240.0,155,-162.5,-162.5,155.0,212.5,227.5,-240,227.5,622.5,60,Open,SBD,M,Single-ply
5,Wu Lu Shih,1975,TPE,56.58,245,252.5,-255,252.5,90,100,-105,100.0,240,250,-265,250.0,602.5,60,Open,SBD,M,Single-ply
6,David Heisel,1985,CAN,59.14,200,-210,212.5,212.5,125,132.5,-137.5,132.5,220,-230,-230,220.0,565,60,Open,SBD,M,Single-ply
