Place,WeightClassKg,Sex,Name,BirthYear,Country,BodyweightKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
1,67.5,M,Tsung Ting Hsieh,1982,TPE,60.95,270,190,272.5,732.5,SBD,Single-ply
2,67.5,M,Arkadiy Shalokha,1983,UKR,67.45,290,197.5,270,757.5,SBD,Single-ply
3,67.5,M,Hassan El Belghitti,1975,FRA,67.3,290,157.5,302.5,750,SBD,Single-ply
4,67.5,M,Dariusz Wszola,1978,POL,55.6,245,165,210,620,SBD,Single-ply
5,67.5,M,Ming Hui Lin,1983,TPE,66.55,267.5,200,255,722.5,SBD,Single-ply
6,67.5,M,Eric Oishi,1979,BRA,66.75,275,180,265,720,SBD,Single-ply
7,67.5,M,Carlos Garcia,1980,VEN,58.95,245,162.5,232.5,640,SBD,Single-ply
8,67.5,M,Hiroyuki Isagawa,1953,JPN,55.8,205,175,220,600,SBD,Single-ply
9,67.5,M,Masaharu Koiwai,1976,JPN,67.25,240,177.5,255,672.5,SBD,Single-ply
DQ,67.5,M,Etienne Lited,1979,FRA,60,247.5,,,,SBD,Single-ply
1,82.5,M,Jaroslaw Olech,1974,POL,74.4,362.5,220,302.5,885,SBD,Single-ply
2,82.5,M,Andriy Naniev,1984,UKR,82,347.5,225,312.5,885,SBD,Single-ply
3,82.5,M,Jan Wegiera,1965,POL,82.35,330,265,290,885,SBD,Single-ply
4,82.5,M,Lung Hsin Huang,1981,TPE,76.2,310,220,307.5,837.5,SBD,Single-ply
5,82.5,M,Wade Hooper,1971,USA,82.4,370,255,255,880,SBD,Single-ply
6,82.5,M,Wataru Kobayakawa,1975,JPN,81.8,307.5,212.5,290,810,SBD,Single-ply
7,82.5,M,Yi Hsin Kuan,1982,TPE,74,292.5,175,290,757.5,SBD,Single-ply
8,82.5,M,Eriek Nickson,1975,USA,74.75,287.5,185,277.5,750,SBD,Single-ply
9,82.5,M,Tom Kean,1972,CAN,74.8,275,190,285,750,SBD,Single-ply
DQ,82.5,M,Jaider Espinoza,1981,VEN,82.35,330,,,,SBD,Single-ply
1,100,M,Sergiy Pevnev,1978,UKR,99.25,380,280,340,1000,SBD,Single-ply
2,100,M,Jacek Wiak,1975,POL,98.75,385,260,320,965,SBD,Single-ply
3,100,M,Anibal Coimbra,1972,LUX,99.05,367.5,245,345,957.5,SBD,Single-ply
4,100,M,Andre Peeters,1970,FRA,98.9,360,240,330,930,SBD,Single-ply
5,100,M,David Ricks,1959,USA,87.75,317.5,222.5,327.5,867.5,SBD,Single-ply
6,100,M,Nicholas Tylutki,1978,USA,99.95,350,215,325,890,SBD,Single-ply
7,100,M,Jeremy Hartman,1983,USA,99.65,315,230,325,870,SBD,Single-ply
8,100,M,Ching-Chung Chen,1978,TPE,98.75,300,190,270,760,SBD,Single-ply
9,100,M,Johan Smith,1991,RSA,89.6,290,170,260,720,SBD,Single-ply
DQ,100,M,Richard Hozjan,1982,AUS,99.2,305,,,,SBD,Single-ply
1,125+,M,Michael Tuchscherer,1985,USA,121.15,410,272.5,375,1057.5,SBD,Single-ply
2,125+,M,Oleksandr Shepel,1987,UKR,125.2,420,260,367.5,1047.5,SBD,Single-ply
3,125+,M,Valeriy Karpov,1984,UKR,109.9,390,265,337.5,992.5,SBD,Single-ply
4,125+,M,Brad Gillingham,1966,USA,147.75,382.5,265,387.5,1035,SBD,Single-ply
5,125+,M,Herman Omland Tor,1977,NOR,110,370,280,320,970,SBD,Single-ply
6,125+,M,Milan Spingl,1980,CZE,144.05,422.5,285,315,1022.5,SBD,Single-ply
7,125+,M,Jari Martikainen,1975,FIN,152,400,265,350,1015,SBD,Single-ply
8,125+,M,Andy Elvis Doerner,1976,GER,133,410,240,305,955,SBD,Single-ply
9,125+,M,Brian Kevin Green,1972,RSA,119.9,340,250,320,910,SBD,Single-ply
DQ,125+,M,Daisuke Midote,1972,JPN,134.25,390,,,,SBD,Single-ply
1,52,F,Wei Ling Chen,1982,TPE,46.75,207.5,92.5,195,495,SBD,Single-ply
2,52,F,Yukako Fukushima,1970,JPN,47.15,182.5,125,162.5,470,SBD,Single-ply
3,52,F,Sri Hartani,1984,INA,51.4,197.5,117.5,185,500,SBD,Single-ply
4,52,F,Yi Ju Chou,1980,TPE,50.45,187.5,87.5,202.5,477.5,SBD,Single-ply
5,52,F,Raija Jurkko Anneli,1963,FIN,45.9,175,90,152.5,417.5,SBD,Single-ply
6,52,F,Kateryna Klymenko,1985,UKR,51.7,175,115,160,450,SBD,Single-ply
7,52,F,Suzanne Hartwig-Gary,1968,USA,51.45,170,97.5,165,432.5,SBD,Single-ply
8,52,F,Benedicte Lepanse,1978,FRA,49,155,100,152.5,407.5,SBD,Single-ply
9,52,F,Mervi Tuulikki Sirkiae,1972,FIN,51.7,150,90,155,395,SBD,Single-ply
DQ,52,F,Vilma Ochoa Vargas,1980,ECU,51.7,195,97.5,,,SBD,Single-ply
1,60,F,Sari Noviana,1984,INA,59.25,210,115,220,545,SBD,Single-ply
2,60,F,Tetyana Prymenchuk,1972,UKR,57.45,200,125,185,510,SBD,Single-ply
3,60,F,Zhanna Ivanova,1984,UKR,59.65,217.5,122.5,185,525,SBD,Single-ply
4,60,F,Chien Yu Chou,1982,TPE,58.2,200,105,207.5,512.5,SBD,Single-ply
5,60,F,Tetyana Akhmamyeteva,1985,UKR,59.35,220,115,180,515,SBD,Single-ply
6,60,F,Ayako Ikeya,1969,JPN,55.6,165,117.5,177.5,460,SBD,Single-ply
7,60,F,Vita Abdulina,1967,UKR,56.25,190,102.5,170,462.5,SBD,Single-ply
8,60,F,Chia-Yu Lee,1987,TPE,52.95,160,95,180,435,SBD,Single-ply
9,60,F,Jeanette Gevers,1962,AUS,59.5,157.5,95,150,402.5,SBD,Single-ply
DQ,60,F,Gundula Fiona von Bachhaus,1981,GER,59.3,,,,,SBD,Single-ply
1,75,F,Larysa Soloviova,1978,UKR,65.6,212.5,150,225,587.5,SBD,Single-ply
2,75,F,Antonietta Orsini,1964,ITA,66.05,220,145,210,575,SBD,Single-ply
3,75,F,Priscilla Ribic,1972,USA,67.65,220,130,200,550,SBD,Single-ply
4,75,F,Mayumi Kitamura,1967,JPN,66.2,202.5,145,192.5,540,SBD,Single-ply
5,75,F,Disa Lee Hatfield,1974,USA,67.75,190,132.5,192.5,515,SBD,Single-ply
6,75,F,Rhaea Fowler,1988,CAN,74.4,220,152.5,170,542.5,SBD,Single-ply
7,75,F,Wei Jung Tseng,1985,TPE,73.55,212.5,105,212.5,530,SBD,Single-ply
DQ,75,F,Hsiao Li Hsu,1981,TPE,63,,,,,SBD,Single-ply
DQ,75,F,Inger Blikra,1961,NOR,74.7,200,,,,SBD,Single-ply
1,90+,F,Iryna Yavorska-Karpova,1980,UKR,81.1,237.5,165,237.5,640,SBD,Single-ply
2,90+,F,Jessica O'Donnell,1980,USA,99.8,267.5,180,242.5,690,SBD,Single-ply
3,90+,F,Ya Wen Chang,1984,TPE,86.1,262.5,140,220,622.5,SBD,Single-ply
4,90+,F,Liane Blyn,1972,USA,76.6,227.5,147.5,207.5,582.5,SBD,Single-ply
5,90+,F,Hille Heidi Arnesen,1970,NOR,75.5,215,127.5,195,537.5,SBD,Single-ply
6,90+,F,Brenda v.d.Meulen,1978,NED,107.4,240,165,195,600,SBD,Single-ply
7,90+,F,Joanne Schaefer-Williams,1967,NED,105,210,180,197.5,587.5,SBD,Single-ply
