Place,WeightClassKg,Sex,Division,Name,Country,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
1,56,M,Open,Precious McKencie,ENG,122.5,125,130,130,187.5,192.5,-195,192.5,217.5,225,,225,547.5,BSD,Wraps
2,56,M,Open,Mike Cross,USA,97.5,102.5,105,105,152.5,-167.5,-167.5,152.5,205,237.5,-250,237.5,495,BSD,Wraps
3,56,M,Open,John Redding,USA,90,-97.5,-97.5,90,-105,105,-197.5,105,205,-212.5,-212.5,205,490,BSD,Wraps
4,56,M,Open,Dave Moyer,USA,100,107.5,-112.5,107.5,185,192.5,-197.5,192.5,180,195,-197.5,195,495,BSD,Wraps
5,56,M,Open,Harry Crawford,CAN,90,95,-97.5,95,-135,135,-142.5,135,180,-192.5,-192.5,180,410,BSD,Wraps
1,60,M,Open,Franklin Riley,USA,130,137.5,-142.5,137.5,175,185,192.5,192.5,220,230,242.5,242.5,572.5,BSD,Wraps
2,60,M,Open,Leroy Mabie,USA,127.5,137.5,-142.5,137.5,172.5,182.5,-187.5,182.5,217.5,-252.5,-252.5,217.5,537.5,BSD,Wraps
3,60,M,Open,Allen Lord,USA,107.5,-112.5,-112.5,107.5,190,-202.5,-205,190,230,235,-242.5,235,532.5,BSD,Wraps
4,60,M,Open,Luis Ramos,PUR,122.5,-130,-130,122.5,145,-152.5,-152.5,145,202.5,212.5,225,225,492.5,BSD,Wraps
5,60,M,Open,Steve Hoxworth,USA,112.5,,,112.5,155,-165,-165,155,202.5,212.5,225,225,492.5,BSD,Wraps
6,60,M,Open,John Ambler,ENG,107.5,-112.5,-112.5,107.5,162.5,-170,-170,162.5,212.5,217.5,,217.5,487.5,BSD,Wraps
7,60,M,Open,Peter Weiss,ENG,97.5,102.5,-105,102.5,170,-180,-185,170,197.5,-207.5,-207.5,197.5,470,BSD,Wraps
8,60,M,Open,Edward Moules,CAN,85,90,-92.5,90,112.5,122.5,-127.5,122.5,190,-195,-202.5,190,402.5,BSD,Wraps
DQ,60,M,Open,David Gehard,USA,125,130,135,135,170,185,192.5,192.5,-220,-220,-220,,,BSD,Wraps
1,67.5,M,Open,Jack Keammerer,USA,122.5,130,135,135,-207.5,207.5,220,220,252.5,267.5,272.5,272.5,627.5,BSD,Wraps
2,67.5,M,Open,Michael Shaw,ENG,140,-147.5,-155,140,217.5,-225,-225,217.5,252.5,-260,-260,252.5,610,BSD,Wraps
3,67.5,M,Open,Jack Welch,USA,150,157.5,-162.5,157.5,212.5,220,220,220,237.5,-247.5,-247.5,237.5,615,BSD,Wraps
4,67.5,M,Open,Max Peek,USA,122.5,127.5,132.5,132.5,197.5,205,-210,205,240,247.5,-255,247.5,585,BSD,Wraps
5,67.5,M,Open,James Moir,CAN,140,-145,145,145,202.5,,,202.5,235,,,235,582.5,BSD,Wraps
6,67.5,M,Open,Gary Hoxworth,USA,127.5,,,127.5,197.5,,,197.5,247.5,,,247.5,572.5,BSD,Wraps
7,67.5,M,Open,Gary Perkins,USA,145,-147.5,-147.5,145,202.5,,,202.5,225,,,225,572.5,BSD,Wraps
8,67.5,M,Open,Clifford Burton,CAN,102.5,,,102.5,182.5,,,182.5,222.5,,,222.5,507.5,BSD,Wraps
9,67.5,M,Open,Richard Williams,USA,112.5,,,112.5,192.5,,,192.5,202.5,,,202.5,507.5,BSD,Wraps
DQ,67.5,M,Open,Gary Hunter,USA,-135,-135,-135,,,,,,,,,,,BSD,Wraps
1,75,M,Open,Ron Collins,ENG,165,-170,-170,165,240,247.5,252.5,252.5,270,290,292.5,292.5,710,BSD,Wraps
2,75,M,Open,Howard Moreau,CAN,162.5,,,162.5,202.5,217.5,220,220,247.5,260,270,270,652.5,BSD,Wraps
3,75,M,Open,Mike Lettieri,USA,127.5,145,160,160,217.5,,,217.5,265,,,265,642.5,BSD,Wraps
4,75,M,Open,Ron Hale,USA,167.5,,,167.5,227.5,,,227.5,242.5,,,242.5,637.5,BSD,Wraps
5,75,M,Open,Joe Spack,USA,130,,,130,202.5,,,202.5,285,-292.5,-300,285,617.5,BSD,Wraps
6,75,M,Open,Rollie Banner,ENG,145,,,145,197.5,,,197.5,242.5,,,242.5,585,BSD,Wraps
7,75,M,Open,Chungu Sosts'n,ZAM,112.5,,,112.5,190,,,190,247.5,,,247.5,550,BSD,Wraps
8,75,M,Open,Felix Torres,PUR,122.5,,,122.5,180,,,180,225,,,225,527.5,BSD,Wraps
DQ,75,M,Open,Joe Pyra,USA,125,-132.5,-132.5,125,-207.5,-207.5,-207.5,-207.5,,,,,,BSD,Wraps
DQ,75,M,Open,Joseph Rhodes,USA,170,,,170,-240,-240,-240,,,,,,,BSD,Wraps
1,82.5,M,Open,Vince Anello,USA,157.5,162.5,-167.5,162.5,225,235,242.5,242.5,297.5,320,332.5,332.5,727.5,BSD,Wraps
2,82.5,M,Open,Vince Peterson,USA,167.5,170,-175,170,-242.5,242.5,257.5,257.5,247.5,267.5,-272.5,267.5,695,BSD,Wraps
3,82.5,M,Open,Nate Newcomer,USA,145,,,145,235,,,235,302.5,,,302.5,682.5,BSD,Wraps
4,82.5,M,Open,Gerald Smith,USA,150,,,150,240,,,240,290,,,290,680,BSD,Wraps
5,82.5,M,Open,Rich Collarile,USA,180,185,190,190,215,,,215,272.5,,,272.5,677.5,BSD,Wraps
6,82.5,M,Open,Peter Fiore,ZAM,152.5,,,152.5,257.5,,,257.5,235,,,235,645,BSD,Wraps
7,82.5,M,Open,Cedric Demetrius,JAM,145,,,145,180,225,-235,225,225,247.5,265,265,635,BSD,Wraps
8,82.5,M,Open,Safeli Kananda,ZAM,150,,,150,197.5,,,197.5,225,,,225,572.5,BSD,Wraps
