Place,WeightClassKg,Sex,Division,Name,Country,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
1,56,M,Open,Precious McKenzie,ENG,180,187.5,-195,187.5,117.5,-122.5,-122.5,117.5,227.5,,,227.5,532.5,SBD,Wraps
2,56,M,Open,Lamar Gant,USA,147.5,162.5,-170,162.5,-95,95,-97.5,95,225,,-235,225,482.5,SBD,Wraps
3,56,M,Open,Vernon Bowser,USA,147.5,160,162.5,162.5,107.5,112.5,-115,112.5,182.5,-192.5,-192.5,182.5,457.5,SBD,Wraps
4,56,M,Open,Clive Thomas,ENG,145,152.5,160,160,72.5,77.5,85,85,197.5,-217.5,-217.5,197.5,442.5,SBD,Wraps
1,60,M,Open,Allen Lord,USA,180,195,202.5,202.5,102.5,110,115,115,217.5,240,-245,240,557.5,SBD,Wraps
2,60,M,Open,Enrique Hernandez,USA,182.5,-197.5,197.5,197.5,135,140,-142.5,140,182.5,-195,-195,182.5,520,SBD,Wraps
3,60,M,Open,Luis Ramos,PUR,150,157.5,-162.5,157.5,122.5,127.5,-132.5,127.5,202.5,215,225,225,510,SBD,Wraps
4,60,M,Open,Gary Wandell,USA,157.5,167.5,-172.5,167.5,112.5,-117.5,-117.5,112.5,197.5,212.5,-222.5,212.5,492.5,SBD,Wraps
5,60,M,Open,Ove Nilsson,SWE,162.5,170,-177.5,170,102.5,110,115,115,190,202.5,-215,202.5,487.5,SBD,Wraps
1,67.5,M,Open,Don Blue,USA,197.5,212.5,-220,212.5,142.5,-145,145,145,262.5,275,277.5,277.5,635,SBD,Wraps
2,67.5,M,Open,Jack Keammerer,USA,202.5,215,217.5,217.5,120,125,-130,125,252.5,262.5,-277.5,262.5,605,SBD,Wraps
3,67.5,M,Open,Michael McHugh,ENG,220,230,-235,230,120,-125,125,125,230,240,242.5,242.5,597.5,SBD,Wraps
4,67.5,M,Open,Gary Hunter,USA,-217.5,217.5,-225,217.5,-125,125,-290,125,90,242.5,,242.5,585,SBD,Wraps
5,67.5,M,Open,James Moir,CAN,192.5,-202.5,-202.5,192.5,130,135,-137.5,135,222.5,235,,235,562.5,SBD,Wraps
DQ,67.5,M,Open,Rickey Grain,USA,-225,-225,-225,,,,,,,,,,,SBD,Wraps
1,75,M,Open,Ron Collins,ENG,252.5,262.5,270,270,162.5,170,170,170,280,-300,-300,280,720,SBD,Wraps
2,75,M,Open,George Grawford,USA,262.5,275,290,290,157.5,-165,-165,157.5,247.5,265,-270,265,712.5,SBD,Wraps
3,75,M,Open,Walter Thomas,USA,-242.5,242.5,257.5,257.5,142.5,150,157.5,157.5,242.5,257.5,267.5,267.5,682.5,SBD,Wraps
4,75,M,Open,Joe Spack,USA,200,210,-217.5,210,125,130,-132.5,130,285,-292.5,-292.5,285,625,SBD,Wraps
5,75,M,Open,Chuck Boomazian,USA,225,-232.5,-232.5,225,157.5,-165,,157.5,225,237.5,-245,237.5,620,SBD,Wraps
6,75,M,Open,Mike Lukich,CAN,-192.5,192.5,202.5,202.5,117.5,-120,,117.5,225,-237.5,-237.5,225,545,SBD,Wraps
1,82.5,M,Open,Bob McKee,USA,242.5,247.5,262.5,262.5,170,175,180,180,290,302.5,317.5,317.5,760,SBD,Wraps
2,82.5,M,Open,Bob Memery,ENG,247.5,260,270,270,157.5,162.5,-165,162.5,290,300,-312.5,300,732.5,SBD,Wraps
3,82.5,M,Open,Vince Anello,USA,225,-237.5,-237.5,225,157.5,162.5,-167.5,162.5,332.5,-342.5,-342.5,332.5,720,SBD,Wraps
4,82.5,M,Open,Felix Gomes,USA,242.5,252.5,260,260,170,-175,-175,170,270,290,-295,290,720,SBD,Wraps
5,82.5,M,Open,Mike McDonald,USA,217.5,230,-235,230,212.5,-220,-220,212.5,-262.5,262.5,-282.5,262.5,705,SBD,Wraps
6,82.5,M,Open,Reno DeCaro,USA,252.5,-262.5,262.5,262.5,167.5,,,167.5,252.5,-262.5,262.5,262.5,692.5,SBD,Wraps
7,82.5,M,Open,Peter Fiore,RSA,240,247.5,252.5,252.5,145,-147.5,-147.5,145,247.5,,,247.5,642.5,SBD,Wraps
8,82.5,M,Open,Anthony DeFrancisco,USA,-207.5,207.5,-217.5,207.5,162.5,170,172.5,172.5,-262.5,-262.5,262.5,262.5,642.5,SBD,Wraps
9,82.5,M,Open,Cedric Demetrius,JAM,180,202.5,235,235,112.5,135,,135,202.5,230,250,250,620,SBD,Wraps
10,82.5,M,Open,Ellezer Plaza,PUR,180,192.5,-195,192.5,145,155,-160,155,215,-225,,215,562.5,SBD,Wraps
DQ,82.5,M,Open,George Clark,USA,-247.5,-247.5,-247.5,-247.5,,,,,,,,,,SBD,Wraps
DQ,82.5,M,Open,James Grizzard,USA,260,,,260,,,,,,,,,,SBD,Wraps
DQ,82.5,M,Open,John Pegler,ENG,-242.5,-242.5,-242.5,,,,,,,,,,,SBD,Wraps
1,90,M,Open,Anthony Fratto,USA,307.5,320,-330,320,170,-175,-175,170,292.5,307.5,-315,307.5,797.5,SBD,Wraps
2,90,M,Open,Jerry Jones,USA,297.5,310,317.5,317.5,162.5,-172.5,-172.5,162.5,305,-317.5,-317.5,305,785,SBD,Wraps
3,90,M,Open,Tom Farchione,USA,265,277.5,290,290,170,-177.5,-177.5,170,290,-295,,290,750,SBD,Wraps
4,90,M,Open,Barry O'Brien,ENG,247.5,262.5,-270,262.5,162.5,170,-175,170,292.5,-317.5,-317.5,292.5,725,SBD,Wraps
DQ,90,M,Open,Joe Weinstein,USA,,,,,,,,,,,,,,SBD,Wraps
DQ,90,M,Open,M. Kananda,RSA,,,,,,,,,,,,,,SBD,Wraps
1,100,M,Open,Bill Seno,USA,275,285,290,290,220,232.5,237.5,237.5,290,302.5,305,305,832.5,SBD,Wraps
2,100,M,Open,Jim Taylor,USA,240,255,-262.5,255,145,-152.5,-152.5,145,285,302.5,-307.5,302.5,702.5,SBD,Wraps
DQ,100,M,Open,Edward Ravenscroft,USA,302.5,-317.5,-317.5,302.5,-220,-220,-220,,,,,,,SBD,Wraps
1,110,M,Open,Larry Pacifico,USA,325,340,-362.5,340,-247.5,247.5,-262.5,247.5,317.5,-337.5,,317.5,905,SBD,Wraps
2,110,M,Open,Tom Scott,USA,295,310,-317.5,310,195,205,,205,325,342.5,,342.5,857.5,SBD,Wraps
3,110,M,Open,Tony Filton,ENG,317.5,332.5,340,340,170,180,-195,180,-292.5,292.5,307.5,307.5,827.5,SBD,Wraps
4,110,M,Open,John Tonti,USA,310,332.5,-340,332.5,170,180,-195,180,292.5,305,-317.5,305,817.5,SBD,Wraps
1,110+,M,Open,Don Reinhoudt,USA,375,407.5,-425,407.5,240,252.5,262.5,262.5,325,362.5,-385,362.5,1032.5,SBD,Wraps
