Place,WeightClassKg,Sex,Division,Name,Country,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
1,52,M,Junior,John Maxwell          ,GBR,175.0,92.5,197.5,465.0,SBD,Single-ply
2,52,M,Junior,M. Ferrera,USA,160.0,122.5,180.0,462.5,SBD,Single-ply
1,56,M,Junior,Ron Caputo            ,USA,172.5,100.0,197.5,470.0,SBD,Single-ply
DQ,56,M,Junior,Raimo Lehtonen,FIN,170.0,125.0,0.0,disq,SBD,Single-ply
1,60,M,Junior,Göran Henryson        ,SWE,240.0,135.0,232.5,607.5,SBD,Single-ply
2,60,M,Junior,A. Covington,USA,195.0,157.5,227.5,580.0,SBD,Single-ply
3,60,M,Junior,R. Kea,USA,207.5,147.5,220.0,575.0,SBD,Single-ply
4,60,M,Junior,Jan Tore Bredalen,NOR,192.5,102.5,210.0,505.0,SBD,Single-ply
5,60,M,Junior,R. Roberts,GBR,180.0,125.0,180.0,485.0,SBD,Single-ply
6,60,M,Junior,A. Candelaria,AHO,165.0,90.0,187.5,442.5,SBD,Single-ply
1,67.5,M,Junior,Dean Davis            ,USA,240.0,147.5,227.5,615.0,SBD,Single-ply
2,67.5,M,Junior,G Troullis,GBR,220.0,120.0,255.0,595.0,SBD,Single-ply
3,67.5,M,Junior,Steinar Fredheim,NOR,200.0,117.5,222.5,540.0,SBD,Single-ply
4,67.5,M,Junior,R. Virginia,AHO,180.0,127.5,232.5,540.0,SBD,Single-ply
5,67.5,M,Junior,A. Vatle,NOR,197.5,110.0,205.0,512.5,SBD,Single-ply
1,75,M,Junior,Mikael Johansson      ,SWE,245.0,170.0,270.0,685.0,SBD,Single-ply
2,75,M,Junior,J. Bolin,USA,255.0,165.0,260.0,680.0,SBD,Single-ply
3,75,M,Junior,A. Rose,GBR,220.0,155.0,255.0,630.0,SBD,Single-ply
4,75,M,Junior,J. Borresen,NOR,215.0,115.0,225.0,555.0,SBD,Single-ply
5,75,M,Junior,D. Martinus,AHO,200.0,107.5,220.0,527.5,SBD,Single-ply
1,82.5,M,Junior,Vinson Keyhea         ,USA,300.0,177.5,325.0,802.5,SBD,Single-ply
2,82.5,M,Junior,T. Ward,IRL,280.0,175.0,275.0,730.0,SBD,Single-ply
3,82.5,M,Junior,T. Burford,GBR,255.0,147.5,307.5,710.0,SBD,Single-ply
4,82.5,M,Junior,S. Candelaria,AHO,230.0,155.0,252.5,637.5,SBD,Single-ply
1,90,M,Junior,Ken Shepard          ,USA,292.5,180.0,285.0,757.5,SBD,Single-ply
2,90,M,Junior,J. Spreadbury,GBR,280.0,157.5,300.0,737.5,SBD,Single-ply
3,90,M,Junior,Jari Mattila,FIN,260.0,160.0,265.0,685.0,SBD,Single-ply
4,90,M,Junior,M. Creamer,IRL,272.5,150.0,240.0,662.5,SBD,Single-ply
5,90,M,Junior,H. Kalleberg,NOR,257.5,137.5,262.5,657.5,SBD,Single-ply
6,90,M,Junior,T. Sandbo,NOR,250.0,137.5,262.5,650.0,SBD,Single-ply
7,90,M,Junior,B. Antersyn,AHO,200.0,120.0,235.0,555.0,SBD,Single-ply
DD,90,M,Junior,A. Lindström,SWE,,,,,SBD,Single-ply
1,100,M,Junior,Ron Tullis            ,USA,312.5,212.5,337.5,862.5,SBD,Single-ply
2,100,M,Junior,G. O'Grady,IRL,260.0,187.5,280.0,727.5,SBD,Single-ply
3,100,M,Junior,K. Bakken,NOR,240.0,180.0,272.5,692.5,SBD,Single-ply
4,100,M,Junior,P. Hagelund,NOR,270.0,160.0,260.0,690.0,SBD,Single-ply
1,110,M,Junior,Roger Eriksen         ,NOR,322.5,202.5,325.0,850.0,SBD,Single-ply
2,110,M,Junior,T. Kritsky,USA,320.0,200.0,320.0,840.0,SBD,Single-ply
3,110,M,Junior,R. Aaardalen,NOR,255.0,145.0,270.0,670.0,SBD,Single-ply
1,125,M,Junior,Lars Noren            ,SWE,340.0,195.0,340.0,875.0,SBD,Single-ply
