Plae,WeightClassKg,Sex,Division,Name,BirthYear,Country,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
1,52,M,Junior,John Maxwell,1964,GBR,160.0,82.5,195.0,437.5,SBD,Single-ply
2,52,M,Junior,J. Catalfamo,,USA,157.5,97.5,182.5,437.5,SBD,Single-ply
3,52,M,Junior,F. Brouillet,,FRA,120.0,75.0,170.0,365.0,SBD,Single-ply
1,56,M,Junior,Talambanua Nanda,1965,INA,180,97.5,222.5,500.0,SBD,Single-ply
2,56,M,Junior,Rao Chandraseki,1962,IND,177.5,92.5,220.0,490.0,SBD,Single-ply
3,56,M,Junior,Balai Halder,,IND,172.5,100.0,190.0,462.5,SBD,Single-ply
4,56,M,Junior,H. Venasen,,NOR,147.5,102.5,182.5,432.5,SBD,Single-ply
5,56,M,Junior,M. Fairbrother,,GBR,140.0,70.0,175.0,385.0,SBD,Single-ply
1,60,M,Junior,Randall Rea,,USA,222.5,147.5,220.0,590.0,SBD,Single-ply
2,60,M,Junior,Desmond  Dallen,1963,USA,187.5,102.5,225.0,515.0,SBD,Single-ply
2,60,M,Junior,Jan Tore Bredalen,1963,NOR,195.0,105.0,212.5,512.5,SBD,Single-ply
3,60,M,Junior,N. Pujari,,IND,185.0,95.0,222.5,502.5,SBD,Single-ply
4,60,M,Junior,B. Pollard,,AUS,177.5,107.5,202.5,487.5,SBD,Single-ply
1,67.5,M,Junior,M. Winquist,,USA,230.0,150.0,240.0,620.0,SBD,Single-ply
2,67.5,M,Junior,Jan Theys,1963,BEL,235.0,140.0,235.0,610.0,SBD,Single-ply
3,67.5,M,Junior,K. Jackson,,GBR,215.0,130.0,242.5,587.5,SBD,Single-ply
4,67.5,M,Junior,Niklas Yngvesson,1963,SWE,235.0,130.0,220.0,585.0,SBD,Single-ply
5,67.5,M,Junior,Steiner Fredheim,1963,NOR,210.0,132.5,230.0,572.5,SBD,Single-ply
6,67.5,M,Junior,S. Garard,,FRA,215.0,117.5,210.0,542.5,SBD,Single-ply
7,67.5,M,Junior,S. King,,NZL,175.0,92.5,200.0,467.5,SBD,Single-ply
1,75,M,Junior,Andrew Rose,1962,GBR,250.0,167.5,275.0,692.5,SBD,Single-ply
2,75,M,Junior,M. Hancock,,USA,247.5,145.0,282.5,675.0,SBD,Single-ply
3,75,M,Junior,Scott Boyd,1962,AUS,267.5,150.0,245.0,662.5,SBD,Single-ply
4,75,M,Junior,C. Dunn,,USA,240.0,152.5,247.5,640.0,SBD,Single-ply
5,75,M,Junior,P. Emett,,NZL,225.0,130.0,265.0,620.0,SBD,Single-ply
6,75,M,Junior,Hubert Lichtenstern,1962,FRG,215.0,115.0,250.0,580.0,SBD,Single-ply
7,75,M,Junior,M. Agarval,,IND,190.0,95.0,200.0,485.0,SBD,Single-ply
DQ,75,M,Junior,Yanto Arifin,1963,INA,220.0,100.0,,,SBD,Single-ply
1,82.5,M,Junior,N. Mairs,,USA,275.0,162.5,272.5,710.0,SBD,Single-ply
2,82.5,M,Junior,Neil Quinn,1962,GBR,270.0,170.0,265.0,705.0,SBD,Single-ply
3,82.5,M,Junior,W. Lamp,,AUS,270.0,162.5,262.5,695.0,SBD,Single-ply
4,82.5,M,Junior,K. Singh,,IND,200.0,135.0,240.0,575.0,SBD,Single-ply
5,82.5,M,Junior,U. Ghosh,,IND,215.0,100.0,225.0,540.0,SBD,Single-ply
1,90,M,Junior,Vince Keyhea,1962,USA,305.0,167.5,337.5,810.0,SBD,Single-ply
2,90,M,Junior,M. Hubon,,AUS,287.5,195.0,280.0,762.5,SBD,Single-ply
3,90,M,Junior,Leif Wahlander,1962,SWE,270.0,170.0,307.5,747.5,SBD,Single-ply
4,90,M,Junior,B. Jonsson,,SWE,270.0,145.0,272.5,687.5,SBD,Single-ply
5,90,M,Junior,H. Kalleberg,,NOR,272.5,145.0,267.5,685.0,SBD,Single-ply
6,90,M,Junior,F. Inglese,,AUS,245.0,145.0,265.0,655.0,SBD,Single-ply
7,90,M,Junior,R. Martin,,GBR,240.0,115.0,260.0,615.0,SBD,Single-ply
1,100,M,Junior,Steve Lumpee,1962,USA,290.0,180.0,312.5,782.5,SBD,Single-ply
2,100,M,Junior,Juha Hyttinen,1963,FIN,295.0,187.5,285.0,767.5,SBD,Single-ply
3,100,M,Junior,J. Fortune,,AUS,297.5,157.5,305.0,760.0,SBD,Single-ply
4,100,M,Junior,A. Ramsey,,GBR,290.0,150.0,285.0,725.0,SBD,Single-ply
5,100,M,Junior,Terje Sandbo,1963,NOR,270.0,147.5,270.0,687.5,SBD,Single-ply
1,110,M,Junior,Michael Brügger,1961,FRG,310.0,212.5,327.5,850.0,SBD,Single-ply
2,110,M,Junior,J. Thill,,USA,292.5,190.0,310.0,792.5,SBD,Single-ply
3,110,M,Junior,L. Elle,,NOR,280.0,175.0,275.0,730.0,SBD,Single-ply
4,110,M,Junior,V. Opinjen,,AUS,250.0,165.0,280.0,695.0,SBD,Single-ply
1,125,M,Junior,S. Platis,1962,AUS,265.0,182.5,280.0,727.5,SBD,Single-ply
1,125+,M,Junior,George Hechter,1961,USA,292.5,235.0,295.0,822.5,SBD,Single-ply
