Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
1,52,M,Junior,D. Santyamurty,1962,IND,170.0,102.5,205.0,477.5,SBD,Single-ply
2,52,M,Junior,Palaui,,IND,175.0,90.0,200.0,465.0,SBD,Single-ply
3,52,M,Junior,Joseph Catalfamo,,USA,155.0,105.0,190.0,450.0,SBD,Single-ply
4,52,M,Junior,Sengit Tio-Hok,,INA,170.0,87.5,190.0,447.5,SBD,Single-ply
5,52,M,Junior,John Clay,,GBR,182.5,97.5,180.0,460.0,SBD,Single-ply
1,56,,,Nanda Talambanua,,INA,205.0,100.0,242.5,547.5,SBD,Single-ply
2,56,,,Gary Simes,,GBR,202.5,97.5,197.5,497.5,SBD,Single-ply
3,56,,,Balai Halder,,IND,175.0,102.5,205.0,482.5,SBD,Single-ply
4,56,,,Francis Carpi,,FRA,172.5,105.0,190.0,467.5,SBD,Single-ply
DD,56,,,Rao Chandraseki,,IND,,,,,SBD,Single-ply
1,60,,,Jan-Tore Bredalen,1963,NOR,205.0,112.5,217.5,535.0,SBD,Single-ply
2,60,,,G. Shivaprasad,1962,IND,197.5,107.5,217.5,522.5,SBD,Single-ply
3,60,,,A.G. Raju,1963,IND,190.0,107.5,225.0,522.5,SBD,Single-ply
4,60,,,A. Flimu,,INA,200.0,100.0,220.0,520.0,SBD,Single-ply
5,60,,,J. Sibley,,GBR,182.5,102.5,185.0,470.0,SBD,Single-ply
1,67.5,,,Steiner Fredheim,1963,NOR,232.5,137.5,260.0,630.0,SBD,Single-ply
2,67.5,,,Desmond Dallen,,GBR,225.0,117.5,257.5,600.0,SBD,Single-ply
3,67.5,,,Cris Boillot,,USA,235.0,140.0,210.0,585.0,SBD,Single-ply
4,67.5,,,B. Strojwous,,CAN,170.0,115.0,205.0,490.0,SBD,Single-ply
DQ,67.5,,,Ty Stapleton,,USA,232.5,,,,SBD,Single-ply
1,75,,,B. Grant,,USA,230.0,182.5,230.0,642.5,SBD,Single-ply
2,75,,,Brett Pollard,,AUS,230.0,155.0,247.5,632.5,SBD,Single-ply
3,75,,,Howard Krieger,,USA,240.0,150.0,240.0,630.0,SBD,Single-ply
4,75,,,Jürgen Hoffart,,BRD,225.0,142.5,235.0,602.5,SBD,Single-ply
5,75,,,Kenneth Jackson,,GBR,210.0,127.5,225.0,562.5,SBD,Single-ply
1,82.5,,,James Cope,,USA,245.0,162.5,250.0,657.5,SBD,Single-ply
2,82.5,,,Scott Hamel,,CAN,230.0,162.5,240.0,632.5,SBD,Single-ply
3,82.5,,,G. Acreman,,AUS,240.0,127.5,242.5,610.0,SBD,Single-ply
4,82.5,,,Yanto Arifin,,INA,235.0,107.5,250.0,592.5,SBD,Single-ply
1,90,,,Rich Wenner,,USA,250.0,175.0,257.5,682.5,SBD,Single-ply
2,90,,,Roy Martin,,GBR,230.0,132.5,240.0,602.5,SBD,Single-ply
1,100,,,Erik Ruble,,USA,300.0,215.0,300.0,815.0,SBD,Single-ply
2,100,,,Andy Bowman,,GBR,285.0,177.5,260.0,722.5,SBD,Single-ply
3,100,,,Xavier Vedamani,,IND,255.0,120.0,250.0,625.0,SBD,Single-ply
DQ,100,,,Moretn Novum,,NOR,220.0,125.0,,,SBD,Single-ply
1,110,,,Jim Peques,,USA,292.5,172.5,337.5,802.5,SBD,Single-ply
2,110,,,Trevor Hubble,1963,GBR,310.0,195.0,275.0,780.0,SBD,Single-ply
3,110,,,O. Dutta,1962,IND,255.0,140.0,230.0,625.0,SBD,Single-ply
1,125,,,Neil Jones,,GBR,290.0,165.0,320.0,775.0,SBD,Single-ply
2,125,,,S. Radhakrishnan,1962,IND,300.0,175.0,280.0,755.0,SBD,Single-ply
DQ,125,,,B.D. Pledge,,AUS,267.5,,,,SBD,Single-ply
1,125+,,,B.V. Goud,,IND,190.0,90.0,170.0,450.0,SBD,Single-ply
DD,125+,,,Torfi Ólafsson,1962,ISL,,,,,SBD,Single-ply
