Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BodyweightKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
1,52,M,Junior,T.H. Seng,,INA,,185.0,102.5,210.0,497.5,SBD,Single-ply
2,52,,,V. Male,,INA,,170.0,110.0,212.5,492.5,SBD,Single-ply
3,52,,,D. Nguyen,,USA,,180.0,110.0,200.0,490.0,SBD,Single-ply
4,52,,,J. Clay,,GBR,,160.0,100.0,180.0,440.0,SBD,Single-ply
5,52,,,P. Solano,,PER,,110.0,70.0,165.0,345.0,SBD,Single-ply
1,56,,,T. Nanda,,INA,,200.0,100.0,250.0,550.0,SBD,Single-ply
2,56,,,A. De Vega,,COL,,190.0,110.0,120.0,520.0,SBD,Single-ply
3,56,,,F. Carpi,,FRA,,175.0,102.5,200.0,477.5,SBD,Single-ply
4,56,,,A. Avalio,,ARG,,170.0,87.5,197.5,455.0,SBD,Single-ply
5,56,,,M. Cappa,,ARG,,155.0,85.0,197.5,437.5,SBD,Single-ply
6,56,,,J. Solano,,PER,,125.0,60.0,150.0,335.0,SBD,Single-ply
DQ,56,,,S. Knechtli,,AUS,,,,,,SBD,Single-ply
DQ,56,,,T. Winters,,USA,,,,,,SBD,Single-ply
1,60,,,T. Taylor,,USA,,190.0,132.5,250.0,572.5,SBD,Single-ply
2,60,,,J. Telechea,,URU,,190.0,120.0,200.0,510.0,SBD,Single-ply
3,60,,,A. Rodrigues,,ARG,,175.0,100.0,180.0,455.0,SBD,Single-ply
4,60,,,J. Paredes,,PER,,140.0,70.0,182.5,392.5,SBD,Single-ply
1,67.5,,,Raymond Benemerito,1967,USA,,237.5,135.0,250.0,622.5,SBD,Single-ply
2,67.5,,,P. Triharyanto,,INA,,232.5,110.0,250.0,592.5,SBD,Single-ply
3,67.5,,,K. Jackson,,GBR,,210.0,132.5,230.0,572.5,SBD,Single-ply
4,67.5,,,D. Dallen,,GBR,,200.0,110.0,255.0,565.0,SBD,Single-ply
5,67.5,,,V. Simon,,CAN,,202.5,125.0,235.0,562.5,SBD,Single-ply
6,67.5,,,Kader Baali,1968,FRA,,180.0,130.0,230.0,540.0,SBD,Single-ply
7,67.5,,,H. Agostino,,ARG,,195.0,100.0,200.0,495.0,SBD,Single-ply
8,67.5,,,H. Meza,,PER,,172.5,97.5,175.0,445.0,SBD,Single-ply
9,67.5,,,S. Arones,,PER,,150.0,75.0,180.0,405.0,SBD,Single-ply
1,75,,,F. Buttigieg,,FRA,,250.0,155.0,285.0,690.0,SBD,Single-ply
2,75,,,J. Cope,,USA,,267.5,147.5,265.0,680.0,SBD,Single-ply
