Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BodyweightKg,,,,,Event,Equipment
1,52,M,Junior,Andrzej Stanaszek,1971,POL,48.30,212.5,153,127.5,492.5,SBD,Single-ply
2,52,M,Junior,Phanibusan Roy,1970,IND,51.50,185,90,180,455,SBD,Single-ply
3,52,M,Junior,Laurent Bach,1968,FRA,52.00,157.5,92.5,197.5,447.5,SBD,Single-ply
4,52,M,Junior,Alistair Fleming,1969,GBR,51.10,170,80,185,435,SBD,Single-ply
5,52,M,Junior,Patrick Constantine,1969,GBR,46.50,155,72.5,190,417.5,SBD,Single-ply
6,52,M,Junior,Glenn Brown,1970,USA,51.90,120,75,162.5,357.5,SBD,Single-ply
7,52,M,Junior,Yi-Cheng Hu,1972,TPE,50.70,105,77.5,162.5,345,SBD,Single-ply
1,56,M,Junior,Clarence Fielder,1969,USA,55.50,190,130,220,540,SBD,Single-ply
2,56,M,Junior,Phillip Richard,1971,GBR,55.00,205,112.5,192.5,510,SBD,Single-ply
3,56,M,Junior,P.B. Joy,1969,IND,54.60,180,97.5,215,492.5,SBD,Single-ply
4,56,M,Junior,Jan Christiansen,1968,NOR,55.80,190,115,185,490,SBD,Single-ply
5,56,M,Junior,Chun-Chieh Lee,1971,TPE,55.20,195,85,170,450,SBD,Single-ply
6,56,M,Junior,Frederic Rambert,1969,FRA,55.90,160,97.5,177.5,435,SBD,Single-ply
7,56,M,Junior,Michel Bourquart,1968,SUI,55.90,175,95,165,435,SBD,Single-ply
8,56,M,Junior,Kai Niemistö,1973,FIN,53.70,160,92.5,170,422.5,SBD,Single-ply
9,56,M,Junior,K. Arumugan,1968,IND,54.80,142.5,72.5,185,400,SBD,Single-ply
10,56,M,Junior,Reno Karkuschke,1968,GER,56.00,140,77.5,165,382.5,SBD,Single-ply
11,56,M,Junior,Housse Abdourazak,1969,DJI,52.40,107.5,55,120,282.5,SBD,Single-ply
1,60,M,Junior,Asko Sirviö,1968,FIN,59.00,200,137.5,215,552.5,SBD,Single-ply
2,60,M,Junior,Chih-Tien Hsieh,1972,TPE,59.00,207.5,90,222.5,520,SBD,Single-ply
3,60,M,Junior,S. Gopalakrishnan,1970,IND,57.00,200,117.5,190,507.5,SBD,Single-ply
4,60,M,Junior,Alejando Fedrigo,1968,ARG,58.90,200,100,205,505,SBD,Single-ply
5,60,M,Junior,Eric Poulin,1974,USA,59.10,215,92.5,195,502.5,SBD,Single-ply
6,60,M,Junior,Mikael Nilsson,1969,SWE,59.20,180,100,212.5,492.5,SBD,Single-ply
7,60,M,Junior,Chun-Jung Cheng,1972,TPE,59.50,192.5,100,187.5,480,SBD,Single-ply
8,60,M,Junior,Ulf Andersson,1969,SWE,59.90,177.5,102.5,195,475,SBD,Single-ply
9,60,M,Junior,Issouf Ouattara,1972,IVC,59.40,160,85,180,425,SBD,Single-ply
1,67.5,M,Junior,Kader Baali,1968,FRA,67.10,247.5,155,255,657.5,SBD,Single-ply
2,67.5,M,Junior,Rodney Hypolite,1969,GBR,64.90,242.5,142.5,265,650,SBD,Single-ply
3,67.5,M,Junior,Jonas Bengtsson,1968,SWE,67.30,220,135,232.5,587.5,SBD,Single-ply
4,67.5,M,Junior,Hidekazu Nagao,1968,JPN,65.40,220,140,215,575,SBD,Single-ply
5,67.5,M,Junior,A. Shankar,1971,IND,67.50,210,122.5,225,557.5,SBD,Single-ply
6,67.5,M,Junior,Bonicafe Nogba,1972,IVC,67.50,220,100,230,550,SBD,Single-ply
7,67.5,M,Junior,Chih-Kuan Weng,1974,TPE,67.00,207.5,100,210,517.5,SBD,Single-ply
8,67.5,M,Junior,Eric Fallet,1975,IVC,66.40,185,115,205,505,SBD,Single-ply
DQ,67.5,M,Junior,Tero Niskanen,1969,FIN,67.10,220,,,,SBD,Single-ply
DQ,67.5,M,Junior,Calvin Dial,1972,USA,67.10,,,,,SBD,Single-ply
1,75,M,Junior,I-Ching Hsieh,1971,TPE,74.20,277.5,130,292.5,700,SBD,Single-ply
2,75,M,Junior,Philippe Hoareau,1968,FRA,73.80,280,142.5,255,677.5,SBD,Single-ply
3,75,M,Junior,Eric Miwonouko,1968,IVC,74.60,277.5,155,245,677.5,SBD,Single-ply
4,75,M,Junior,Robert Loach,1968,GBR,73.00,220,125,250,595,SBD,Single-ply
5,75,M,Junior,Boris Sendatzki,1968,GER,74.40,210,130,210,550,SBD,Single-ply
6,75,M,Junior,Tatsuya Saitoh,1973,JPN,73.40,220,110,205,535,SBD,Single-ply
7,75,M,Junior,Ibrahim Barboza,1970,TOG,72.30,130,115,175,420,SBD,Single-ply
DQ,75,M,Junior,Henri Konan,1970,IVC,74.10,,,,,SBD,Single-ply
DQ,75,M,Junior,Jukka Kenttälä,1971,FIN,74.80,,,,,SBD,Single-ply
1,82.5,M,Junior,Kjell Kaspersen,1968,NOR,81.90,310,145,260,715,SBD,Single-ply
2,82.5,M,Junior,Øyvind Bjørnsen,1970,NOR,81.00,280,172.5,255,707.5,SBD,Single-ply
3,82.5,M,Junior,Laurent Dewas,1969,FRA,81.20,282.5,147.5,275,705,SBD,Single-ply
4,82.5,M,Junior,Nicolas Loumi,1969,FRA,81.60,250,152.5,260,662.5,SBD,Single-ply
5,82.5,M,Junior,Jonas Aslund,1970,SWE,82.00,235,150,260,645,SBD,Single-ply
6,82.5,M,Junior,Cheng Chen ,1969,TPE,80.90,250,110,240,600,SBD,Single-ply
7,82.5,M,Junior,Cherif Bekkali,1970,MAR,76.10,165,125,180,470,SBD,Single-ply
8,82.5,M,Junior,Komi Amevor,1968,TOG,78.50,155,120,195,470,SBD,Single-ply
DQ,82.5,M,Junior,Mohamed Amer,1968,IVC,80.30,245,160,,,SBD,Single-ply
DQ,82.5,M,Junior,Shawn Hoover,1968,USA,80.50,262.5,135,,,SBD,Single-ply
1,90,M,Junior,Carl Christoffersen,1968,NOR,89.10,280,187.5,272.5,740,SBD,Single-ply
2,90,M,Junior,Frank Duve,1971,NOR,89.10,270,177.5,260,707.5,SBD,Single-ply
3,90,M,Junior,Samuel Watt,1970,GBR,88.70,270,152.5,282.5,705,SBD,Single-ply
4,90,M,Junior,Michael Vinson,1969,USA,86.00,270,165,262.5,697.5,SBD,Single-ply
DD,90,M,Junior,Steven Johnston,1968,USA,89.40,,,,,SBD,Single-ply
1,100,M,Junior,Philip Farmer,1969,USA,98.80,320,197.5,310,827.5,SBD,Single-ply
