Place,WeightClassKg,Division,Sex,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
1,52,Master 1,F,Anna-Maija Honka,1951,SWE,51.1,,,,135,,,,67.5,,,,147.5,350,SBD,Single-ply
2,52,Master 1,F,Nicola Gifford,1955,GBR,46.4,,,,125,,,,60,,,,135,320,SBD,Single-ply
3,52,Master 1,F,Nadezhda Uvachan,1944,RUS,51,,,,130,,,,72.5,,,,132.5,335,SBD,Single-ply
4,52,Master 1,F,Anita Thimm,1950,GER,51.6,,,,110,,,,62.5,,,,145,317.5,SBD,Single-ply
5,52,Master 1,F,Karen Clarke,1953,GBR,51.4,,,,90,,,,42.5,,,,125,257.5,SBD,Single-ply
6,52,Master 1,F,Yosoko Tagaki,1923,JPN,51,,,,90,,,,45,,,,100,235,SBD,Single-ply
DQ,52,Master 1,F,Vera Moser,1923,USA,51.3,,,,60,,,,,,,,,,SBD,Single-ply
1,56,Master 1,F,Toni Hollis,1954,GBR,55.5,,,,155,,,,87.5,,,,155,397.5,SBD,Single-ply
2,56,Master 1,F,Mieke Vivijs,1954,BEL,54.8,,,,132.5,,,,65,,,,160,357.5,SBD,Single-ply
3,56,Master 1,F,Irene King,1954,CAN,67.3,,,,155,,,,97.5,,,,162.5,415,SBD,Single-ply
4,56,Master 1,F,Irmeli Vaulakorpi,1954,FIN,54.1,,,,135,,,,70,,,,140,345,SBD,Single-ply
5,60,Master 1,F,Nadezhda Kashirina,1954,RUS,60,,,,135,,,,80,,,,160,375,SBD,Single-ply
6,60,Master 1,F,Hana Takacova,1954,CZE,59.7,,,,145,,,,75,,,,140,360,SBD,Single-ply
7,56,Master 1,F,Adina Hykova,1943,CZE,54.3,,,,122.5,,,,65,,,,137.5,325,SBD,Single-ply
8,67.5,Master 1,F,Anne Bache-Gabrielsen,1952,NOR,62.4,,,,130,,,,62.5,,,,137.5,330,SBD,Single-ply
9,60,Master 1,F,Lise Madsen,1953,DEN,58.6,,,,105,,,,60,,,,135,300,SBD,Single-ply
10,60,Master 1,F,Gina Brown,1948,GBR,56.8,,,,115,,,,55,,,,117.5,287.5,SBD,Single-ply
11,67.5,Master 1,F,Linda Harding,1948,USA,66.2,,,,115,,,,72.5,,,,137.5,325,SBD,Single-ply
12,67.5,Master 1,F,Tatyana Fomina,1946,RUS,61.1,,,,125,,,,47.5,,,,117.5,290,SBD,Single-ply
13,67.5,Master 1,F,Erika Druwe,1936,GER,66.2,,,,95,,,,55,,,,120,270,SBD,Single-ply
DQ,67.5,Master 1,F,Nancy Strehlau,1948,USA,66,,,,130,,,,,,,,,,SBD,Single-ply
DQ,67.5,Master 1,F,Ursula Nothnagel,1936,GER,61,,,,,,,,,,,,,,SBD,Single-ply
1,75,Master 1,F,Joke v.d. Meulen,1951,NED,69.3,,,,170,,,,82.5,,,,182.5,435,SBD,Single-ply
2,75,Master 1,F,Mariet Spronk,1955,NED,68,,,,145,,,,87.5,,,,175,407.5,SBD,Single-ply
3,75,Master 1,F,Hildegard Utecht,1946,GER,67.7,,,,130,,,,87.5,,,,125,342.5,SBD,Single-ply
4,75,Master 1,F,Teresita Frisbee,1947,USA,73.6,,,,137.5,,,,80,,,,142.5,360,SBD,Single-ply
5,75,Master 1,F,Eva Paulig,1954,GER,75.1,,,,115,,,,95,,,,120,330,SBD,Single-ply
6,75,Master 1,F,Henrietta Bufaight,1953,USA,70.5,,,,115,,,,67.5,,,,130,312.5,SBD,Single-ply
7,90,Master 1,F,Eva Hansen,1947,DEN,80.7,,,,130,,,,55,,,,130,315,SBD,Single-ply
DQ,90,Master 1,F,Anita Bruver,1938,RSA,83.4,,,,,,,,,,,,,,SBD,Single-ply
1,52,Master 1,M,Alex Galant,1947,USA,51.1,130,140,147.5,147.5,85,85,85,85,145,157.5,160,160,392.5,SBD,Single-ply
2,52,Master 1,M,Yuri Kaplya,1951,RUS,52,122.5,132.5,142.5,142.5,80,87.5,90,90,125,140,150,150,382.5,SBD,Single-ply
3,52,Master 1,M,Pijush Chatterjee,1953,IND,49.6,115,125,140,140,70,75,80,80,145,150,162.5,162.5,365,SBD,Single-ply
4,52,Master 1,M,Ramesh Surati,1945,IND,50.9,120,130,137.5,137.5,45,55,,55,135,150,,150,310,SBD,Single-ply
1,56,Master 1,M,Yashuhiro Satowa,1954,JPN,54.9,185,190,195,195,87.5,92.5,95,95,175,185,185,185,462.5,SBD,Single-ply
2,56,Master 1,M,Freddie Higgins,1946,USA,55.5,157.5,170,170,170,117.5,125,127.5,127.5,175,187.5,190,190,450,SBD,Single-ply
3,56,Master 1,M,Bretislav Raska,1946,SVK,55.7,130,140,150,150,87.5,90,92.5,92.5,170,180,182.5,182.5,422.5,SBD,Single-ply
4,56,Master 1,M,Per Svantesson,1954,SWE,56,160,170,170,170,92.5,100,105,105,150,160,165,165,410,SBD,Single-ply
1,60,Master 1,M,Anton Fidilio,1946,GER,59.8,175,182.5,190,190,110,115,,115,215,230,,230,527.5,SBD,Single-ply
2,60,Master 1,M,Jalo Rajala,1953,FIN,59.7,140,150,155,155,100,107.5,112.5,112.5,185,195,200,200,457.5,SBD,Single-ply
3,60,Master 1,M,Paul Vernimmen,1955,BEL,57.8,150,162.5,162.5,162.5,90,95,97.5,97.5,187.5,195,197.5,197.5,452.5,SBD,Single-ply
4,60,Master 1,M,R.C. Joshi,1952,IND,59.4,140,150,155,155,90,100,100,100,140,152.5,162.5,162.5,412.5,SBD,Single-ply
5,60,Master 1,M,Joachim Lietzau,1950,GER,59.8,115,125,135,135,105,110,115,115,140,150,157.5,157.5,407.5,SBD,Single-ply
6,60,Master 1,M,Hialaj Jariwala,1953,IND,59.3,135,142.5,147.5,147.5,107.5,112.5,117.5,117.5,150,157.5,162.5,162.5,405,SBD,Single-ply
DQ,,Master 1,M,Larry Christ,1948,USA,59.9,167.5,182.5,192.5,192.5,110,115,120,120,202.5,202.5,202.5,202.5,,SBD,Single-ply
1,67.5,Master 1,M,Gennady Sayapin,1951,RUS,67,230,240,245,245,140,147.5,147.5,147.5,230,242.5,247.5,247.5,640,SBD,Single-ply
2,67.5,Master 1,M,Jakob Hansen,1949,DEN,67.4,220,230,237.5,237.5,145,152.5,155,155,220,220,225,225,610,SBD,Single-ply
3,67.5,Master 1,M,Haruo Taira,1954,JPN,66.9,220,227.5,230,230,160,165,170,170,215,225,225,225,607.5,SBD,Single-ply
4,67.5,Master 1,M,Ken Lam,1949,CAN,67.4,210,220,220,220,132.5,137.5,142.5,142.5,235,242.5,252.5,252.5,590,SBD,Single-ply
5,67.5,Master 1,M,Ron Kerr,1955,GBR,67,205,217.5,222.5,222.5,110,117.5,122.5,122.5,210,225,230,230,570,SBD,Single-ply
