Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Squat4Kg,Bench4Kg,Deadlift4Kg,Event,Equipment
1,44,F,Junior,Svetlana Tesleva,1975,RUS,43.3,135,-142.5,-142.5,67.5,72.5,-77.5,135,142.5,150.5,357.5,,,,SBD,Single-ply
2,44,F,Junior,Shu-ju Yang,1973,TPE,43.6,135,143,,65,70,-75,-120,120,125,337.5,,,,SBD,Single-ply
3,44,F,Junior,P. Sheri,1972,IND,42.2,102.5,-107.5,-107.5,42.5,45,-47.5,120,-125,125,272.5,,,,SBD,Single-ply
4,44,F,Junior,Deb Kalyani,1972,IND,42.7,100,107.5,-112.5,50,52.5,55,100,107.5,-112.5,270,,,,SBD,Single-ply
5,44,F,Junior,Anna Miroshnichenko,1980,UKR,44,80,-90,90,42.5,47.5,-50,100,120,-135,257.5,,,,SBD,Single-ply
1,48,F,Junior,Elena Yamskich,1974,RUS,47.6,137.5,-145.5,150,80,85,87.5,-155,155,-167.5,392.5,,,,SBD,Single-ply
2,48,F,Junior,Lien-Ju Chang,1975,TPE,44.4,120,-130,130,62.5,65,70,135,147.5,-157.5,347.5,,,,SBD,Single-ply
3,48,F,Junior,Prabha Surya,1972,IND,45.1,120,127.5,-132.5,35,40,42.5,125,135,145,315,,,,SBD,Single-ply
4,48,F,Junior,Dhali Mridula,1972,IND,44.8,120,127.5,-132.5,45,50,-52.5,105,115,-117.5,292.5,,,,SBD,Single-ply
5,48,F,Junior,Tatyana Eltsova,1978,RUS,45.2,110,115,-122.5,45,52.5,55,112.5,120,-125,290,,,,SBD,Single-ply
6,48,F,Junior,Christine Jablon,1976,USA,47.6,70,77.5,85,45,50,55,97.5,102.5,105,245,,,,SBD,Single-ply
7,48,F,Junior,Heather Coutre,1977,USA,47.7,-82.5,82.5,-87.5,55,60,65,90,-95,97.5,245,,,,SBD,Single-ply
1,52,F,Junior,Oxana Belova,1975,RUS,51.6,140,150,157.5,77.5,85,87.5,160,170,177.5,422.5,,,,SBD,Single-ply
2,52,F,Junior,Mingguriati,1975,INA,51.3,-155,155,160,65,72.5,-75,160,170,175,407.5,170,,,SBD,Single-ply
3,52,F,Junior,Marion Braun,1972,AUT,50.9,120,125,130,85,87.5,-90,120,127.5,130,347.5,,,,SBD,Single-ply
4,52,F,Junior,Jennifer Moser,1978,USA,52,-132.5,132.5,135,60,65,-67.5,140,-147.5,-150,340,,,,SBD,Single-ply
5,52,F,Junior,Emi Nishimoto,1973,JPN,50.7,115,-125,125,65,-70,-70,100,110,120,310,,,,SBD,Single-ply
DQ,52,F,Junior,Mervi Sirkiä,1972,FIN,51.9,122.5,-127.5,-127.5,-72.5,-72.5,-72.5,,,,,,,,SBD,Single-ply
1,56,F,Junior,Eva Engskar,1973,NOR,55.9,160,-170,-170,95,100,102.5,-150,150,155,417.5,,,,SBD,Single-ply
2,56,F,Junior,Li-Min Chou,1972,TPE,55.8,152.5,160,165,67.5,72.5,75,152.5,160,-177.5,400,,,,SBD,Single-ply
3,56,F,Junior,Dana Matejova,1975,SVK,55.3,130,140,145,80,87.5,-90,130,140,-147.5,372.5,,,,SBD,Single-ply
4,56,F,Junior,Olga Kotelnikova,1975,RUS,54.8,140,147.5,-155,70,75,80,130,-135,-145,357.5,,,,SBD,Single-ply
5,56,F,Junior,Elena Grigoryeva,1976,RUS,54.9,135,147.5,-157.5,60,-65,-65,135,142.5,147.5,355,,,,SBD,Single-ply
6,56,F,Junior,Reni Kelly,1977,USA,55.3,125,132.5,-140,65,-70,-70,125,132.5,142.5,340,,,,SBD,Single-ply
