Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Event,Equipment
1,44,F,Junior,Lien-Ju Chang,1975,TPE,43.3,110,120,130,60,65,-70,137.5,147.5,-157.5,342.5,SBD,Single-ply
2,44,F,Junior,Shu-Ju Yang,1973,TPE,43.5,135,-145.5,-145.5,62.5,67.5,-70,125,-132.5,-132.5,327.5,SBD,Single-ply
3,44,F,Junior,Devi K. Ganga,1975,IND,43.5,-100,100,-110,45,50,52.5,110,117.5,122.5,275,SBD,Single-ply
4,44,F,Junior,Hirata Rie,1973,JPN,43.9,-100,-100,100,60,62.5,65,102.5,110,-115,275,SBD,Single-ply
5,44,F,Junior,Vanessa Martin,1976,FRA,43.8,105,-110,-110,50,-52.5,-52.5,110,-115,-115,265,SBD,Single-ply
DQ,44,F,Junior,Naina Sriyan,1974,IND,42.4,-90,-90,-90,,,,,,,,SBD,Single-ply
1,48,F,Junior,Elena Yamskich,1974,RUS,47.2,132.5,140,145,80,85,-87.5,150,160,170,400,SBD,Single-ply
2,48,F,Junior,B.H. Bharati,1978,IND,46.9,130,135,,55,60,62.5,137.5,145,-150,342.5,SBD,Single-ply
3,48,F,Junior,Tatyana Eltsova,1978,RUS,47.6,130,-137.5,137.5,60,-67.5,67.5,120,132.5,-142.5,337.5,SBD,Single-ply
4,48,F,Junior,Ludmila Titova,1978,UKR,47.8,110,-115,115,55,60,-65,110,120,-127.5,295,SBD,Single-ply
5,48,F,Junior,Marta Kleszczynska,1979,POL,47.8,100,-105,107.5,-60,60,-65,115,122.5,-127.5,290,SBD,Single-ply
6,48,F,Junior,Kristy Johnson,1976,USA,46.8,95,-102.5,102.5,50,55,-57.5,102.5,110,120,277.5,SBD,Single-ply
7,48,F,Junior,Natacha Torres,1981,USA,44.8,45,52.5,57.5,30,35,-40,82.5,92.5,97.5,190,SBD,Single-ply
1,52,F,Junior,Oxana Belova,1975,RUS,51.8,155,167.5,177.5,87.5,95,-97.5,155,170,180,452.5,SBD,Single-ply
2,52,F,Junior,Hsiao-Li Hsu,1981,TPE,51.3,-150,150,-160,70,77.5,80,135,142.5,-145,372.5,SBD,Single-ply
3,52,F,Junior,Anna Miroshnichenko,1980,UKR,51.3,110,120,127.5,62.5,70,72.5,130,142.5,150,350,SBD,Single-ply
4,52,F,Junior,Line Andreasen,1977,NOR,51.3,117.5,125,130,52.5,57.5,-60,115,120,-122.5,307.5,SBD,Single-ply
5,52,F,Junior,Nina Lappalainen,1973,FIN,51.4,105,-112.5,112.5,60,65,-67.5,125,-132.5,-132.5,302.5,SBD,Single-ply
6,52,F,Junior,Emi Hishimoto,1973,JPN,51.1,100,110,120,60,65,67.5,90,100,105,292.5,SBD,Single-ply
7,52,F,Junior,Esther Müller-Sachs,1976,GER,51,100,105,-110,50,-55,-55,120,125,130,285,SBD,Single-ply
8,52,F,Junior,Miia Tuomi,1976,FIN,50.15,90,95,100,40,-42.5,,125,-130,,265,SBD,Single-ply
1,56,F,Junior,Eva Engskar,1973,NOR,55.5,165,170,-172.5,-100,100,-105,150,-155,155,425,SBD,Single-ply
2,56,F,Junior,Diana Sidorova,1975,RUS,55.9,155,165,170,72.5,77.5,-80,152.5,162.5,-180,410,SBD,Single-ply
3,56,F,Junior,Dana Matejova,1975,SVK,55.9,150,157.5,-162.5,87.5,92.5,-97.5,130,137.5,147.5,397.5,SBD,Single-ply
4,56,F,Junior,Virpi Kehänen,1979,FIN,55.3,147.5,155,160,65,70,72.5,135,145,-165,377.5,SBD,Single-ply
5,56,F,Junior,Isabelle Fabre,1977,FRA,55.1,137.5,142.5,147.5,67.5,72.5,-75,142.5,-147.5,147.5,367.5,SBD,Single-ply
6,56,F,Junior,Anne Heikkilä,1978,FIN,55.7,110,120,130,60,65,67.5,115,125,-132.5,322.5,SBD,Single-ply
7,56,F,Junior,Eva Radermacher,1975,GER,54.1,90,100,107.5,50,57.5,60,115,122.5,132.5,300,SBD,Single-ply
8,56,F,Junior,Julia Butenko,1977,TKM,55.9,95,,105,-50,50,-55,100,110,115,270,SBD,Single-ply
DQ,56,F,Junior,Ai Nuneyasu,1981,JPN,55.3,110,115,-120,-57.5,57.5,62.5,-125,-125,-125,,SBD,Single-ply
DQ,56,F,Junior,Linda Kristensen,1977,NOR,55.7,-150,150,-162.5,,,,,,,,SBD,Single-ply
1,60,F,Junior,Marina Kudinova,1977,RUS,59.7,180,190,197.5,-102.5,102.5,110,175,185,-190,492.5,SBD,Single-ply
2,60,F,Junior,Ya-Ching Huang,1976,TPE,59.9,-175,175,-185,92.5,-97.5,97.5,180,-191,-191,452.5,SBD,Single-ply
3,60,F,Junior,Viktoria Sherban,1980,UKR,59.1,-150,150,162.5,80,87.5,90,160,170,-192.5,422.5,SBD,Single-ply
4,60,F,Junior,Tomoe Miyata,1973,JPN,59.4,150,162.5,170,-82.5,85,-90,130,140,-145,395,SBD,Single-ply
5,60,F,Junior,Bente Arntsen,1976,NOR,59.6,137.5,-147.5,-147.5,77.5,82.5,-85,140,147.5,-155,367.5,SBD,Single-ply
6,60,F,Junior,Joanna Liimatainen,1974,FIN,57.9,135,-145,-145,-67.5,67.5,72.5,140,150,155,362.5,SBD,Single-ply
7,60,F,Junior,Sandra Krebs,1978,AUT,57.7,117.5,122.5,-125,82.5,-87.5,-87.5,140,145,-147.5,350,SBD,Single-ply
8,60,F,Junior,Wendy Hartman,1976,RSA,59.9,-120,120,130,60,62.5,65,120,145,,340,SBD,Single-ply
