-52,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Stanaszek/Andrzej/71,51.1,Poland,,,,,,,275,,,172.5,,,145,,,592.5,...,592.2,,,,,
2,Lu/Shih-Wu/75,51.6,Chin.Taipei,,,,,230,,,115,,,230,,,575,...,568.84,,,,,,,
3,Anbu/N./78,51.8,India,,,,,,,,225,,,97.5,,,,242.5,,,565,...,556.69,,,
4,Glarje/I.P./76,52,India,,,,,,,,207.5,,,97.5,,,,232.5,,,537.5,...,527.44,,,
5,Gainer/Ervin/66,51.2,US.America,,,,,185,.NB,130,.NB,215,.NB,530,.NB,528.67,,,,,,,,,,
6,Yakan/Nabe/70,51.1,Japan,,,,,,,,182.5,,,147.5,.NB,192.5,,,522.5,...,522.23,,,,,
7,Wszola/Dariusz/78,51.1,Poland,,,,,,,210,,,110,,,180,,,500,...,499.75,,,,,
8,Degovets/Olexandr/65,52,Ukraina,,,,,,,180,,,115,,,180,,,475,...,466.11,,,,,
--.,Inaba/Hideaki/44,51.8,Japan,,,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,,
--.,Vith/Allan/74,51.9,Denmark,,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,,,
-56,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pavlov/Konstantin/73,55.2,Russia,,,,,,,245,,,170,.NB,215,,,630,.NB,581.67,,,,,,
2,Hsieh/Tsung/Ting/82,,55.5,Chin.Taipei,,,,,220,,,140,,,240,,,600,...,551.04,,,,,,
3,Loganatahn/V/76,,,,55.6,India,,,,,,,,230,,,115,,,240,,,585,...,536.32,
4,Brandtzaeg/Roy/72,,,55.4,Norway,,,,,,,230,,,130,,,220,,,580,...,533.6,,,
5,Nemeth/Juergen/72,,,55.8,Austria,,,,,,,205,,,120,,,240,,,565,.NB,516.12,,,
6,Koike/Katzyoshi/73,,55.9,Japan,,,,,,,,207.5,.NB,130,,,217.5,,,555,.NB,506.1,,,,
7,Francis/Jentry/71,,,55.8,India,,,,,,,,200,,,115,,,235,,,550,...,502.42,,
8,Taylor/Will/69,,,,55.4,US.America,,,,,180,,,135,,,202.5,,,517.5,...,476.1,,,,
9,Kolsovsky/Stefan/61,,55.9,Slovakia,,,,,,180,,,137.5,,,160,,,477.5,...,435.43,,,,,
